sample_id,flight_path,tile_name,land_cover_mask_path,total_pixels,known_pixels,nodata_pixels,unknown_pixels,unknown_codes,class_1_water_pixels,class_2_trees_pixels,class_4_flooded_vegetation_pixels,class_5_crops_pixels,class_7_built_area_pixels,class_8_bare_ground_pixels,class_11_rangeland_pixels,class_1_water_pct,class_2_trees_pct,class_4_flooded_vegetation_pct,class_5_crops_pct,class_7_built_area_pct,class_8_bare_ground_pct,class_11_rangeland_pct
fp1_tile_24_52,fp1,tile_24_52.tif,land_cover_mask_tiles/tile_24_52.tif,65536,65536,0,0,,78,41705,0,22563,626,3,561,0.1190185546875,63.63677978515625,0.0,34.42840576171875,0.9552001953125,0.00457763671875,0.85601806640625
fp1_tile_24_53,fp1,tile_24_53.tif,land_cover_mask_tiles/tile_24_53.tif,65536,65536,0,0,,9,45487,0,15830,704,3,3503,0.01373291015625,69.40765380859375,0.0,24.1546630859375,1.07421875,0.00457763671875,5.34515380859375
fp1_tile_24_54,fp1,tile_24_54.tif,land_cover_mask_tiles/tile_24_54.tif,65536,65536,0,0,,0,22414,0,40100,1414,0,1608,0.0,34.2010498046875,0.0,61.187744140625,2.1575927734375,0.0,2.45361328125
fp1_tile_24_55,fp1,tile_24_55.tif,land_cover_mask_tiles/tile_24_55.tif,65536,65536,0,0,,48,35428,0,25575,1023,0,3462,0.0732421875,54.058837890625,0.0,39.02435302734375,1.56097412109375,0.0,5.2825927734375
fp1_tile_24_56,fp1,tile_24_56.tif,land_cover_mask_tiles/tile_24_56.tif,65536,65536,0,0,,122,40681,0,21118,988,0,2627,0.1861572265625,62.07427978515625,0.0,32.2235107421875,1.507568359375,0.0,4.00848388671875
fp1_tile_25_53,fp1,tile_25_53.tif,land_cover_mask_tiles/tile_25_53.tif,65536,65536,0,0,,263,38583,0,25225,957,0,508,0.40130615234375,58.87298583984375,0.0,38.49029541015625,1.46026611328125,0.0,0.775146484375
fp1_tile_25_54,fp1,tile_25_54.tif,land_cover_mask_tiles/tile_25_54.tif,65536,65536,0,0,,3,46835,0,15476,203,0,3019,0.00457763671875,71.46453857421875,0.0,23.614501953125,0.30975341796875,0.0,4.60662841796875
fp1_tile_25_55,fp1,tile_25_55.tif,land_cover_mask_tiles/tile_25_55.tif,65536,65536,0,0,,99,30196,0,30625,2354,0,2262,0.15106201171875,46.075439453125,0.0,46.73004150390625,3.5919189453125,0.0,3.4515380859375
fp1_tile_25_56,fp1,tile_25_56.tif,land_cover_mask_tiles/tile_25_56.tif,65536,65536,0,0,,198,24529,0,38037,2699,15,58,0.3021240234375,37.42828369140625,0.0,58.03985595703125,4.11834716796875,0.02288818359375,0.0885009765625
fp1_tile_26_53,fp1,tile_26_53.tif,land_cover_mask_tiles/tile_26_53.tif,65536,65536,0,0,,22,57147,0,5480,393,0,2494,0.0335693359375,87.19940185546875,0.0,8.36181640625,0.59967041015625,0.0,3.8055419921875
fp1_tile_26_54,fp1,tile_26_54.tif,land_cover_mask_tiles/tile_26_54.tif,65536,65536,0,0,,47,42939,0,19493,1829,0,1228,0.07171630859375,65.51971435546875,0.0,29.74395751953125,2.79083251953125,0.0,1.873779296875
